explode
120
####
411.1297,110.8855,119.3952
411.1064,110.8685,119.3472
411.0835,110.8686,119.3863
411.0853,110.86,119.4156
411.0994,110.8505,119.427
411.1093,110.8985,119.4165
411.1021,110.867,119.4354
411.1027,110.8513,119.4239
411.1046,110.8467,119.4117
411.1293,110.8964,119.4158
411.1168,110.861,119.4356
411.1126,110.8438,119.4203
411.1123,110.8394,119.4059
411.1484,110.8908,119.41
411.1358,110.8582,119.4283
411.1287,110.8438,119.4121
411.1268,110.8416,119.3966
411.1643,110.8814,119.4039
411.1534,110.8581,119.4205
411.1447,110.849,119.4106
411.1406,110.8473,119.3978
####
411.1299,110.8851,119.3953
411.1063,110.8683,119.3474
411.0833,110.8684,119.3864
411.0847,110.8599,119.4156
411.0982,110.8506,119.4274
411.1096,110.8979,119.4168
411.1025,110.867,119.4363
411.103,110.8513,119.4257
411.1047,110.8463,119.4142
411.1296,110.8959,119.416
411.1176,110.8611,119.4365
411.1134,110.8437,119.4223
411.1131,110.8389,119.4086
411.1486,110.8903,119.4101
411.1367,110.8581,119.429
411.1298,110.8435,119.4138
411.1277,110.8409,119.3989
411.1646,110.881,119.4039
411.1544,110.8579,119.4207
411.1461,110.8486,119.4115
411.142,110.8465,119.3994
####
411.13,110.8847,119.3955
411.1063,110.8681,119.3476
411.0831,110.8682,119.3865
411.084,110.8599,119.4157
411.097,110.8507,119.4278
411.1098,110.8973,119.4171
411.1029,110.867,119.4372
411.1032,110.8512,119.4276
411.1049,110.8459,119.4167
411.1298,110.8953,119.4162
411.1183,110.8611,119.4374
411.1143,110.8437,119.4243
411.1138,110.8384,119.4113
411.1488,110.8898,119.4102
411.1375,110.858,119.4296
411.1309,110.8432,119.4156
411.1286,110.8401,119.4011
411.1647,110.8806,119.4038
411.1555,110.8577,119.4209
411.1475,110.8482,119.4125
411.1435,110.8457,119.4011
####
411.1302,110.8842,119.3956
411.1062,110.8679,119.3478
411.0829,110.868,119.3866
411.0833,110.8599,119.4158
411.0959,110.8508,119.4282
411.1101,110.8967,119.4174
411.1033,110.867,119.4382
411.1035,110.8512,119.4294
411.105,110.8456,119.4193
411.13,110.8947,119.4164
411.1191,110.8611,119.4383
411.1151,110.8436,119.4263
411.1145,110.8379,119.4141
411.149,110.8893,119.4103
411.1384,110.8579,119.4303
411.132,110.8429,119.4174
411.1295,110.8394,119.4033
411.1649,110.8802,119.4038
411.1566,110.8576,119.4212
411.1489,110.8479,119.4134
411.145,110.8449,119.4028
####
411.1303,110.8837,119.3957
411.1062,110.8676,119.348
411.0827,110.8677,119.3867
411.0826,110.8598,119.4158
411.0945,110.8508,119.4284
411.1103,110.896,119.4177
411.1036,110.8668,119.439
411.1037,110.8511,119.4311
411.1051,110.8453,119.4216
411.1303,110.8941,119.4166
411.1199,110.8611,119.4391
411.1161,110.8436,119.4282
411.1154,110.8376,119.4167
411.1493,110.8887,119.4103
411.1394,110.8578,119.4308
411.1332,110.8428,119.419
411.1308,110.8388,119.4056
411.1651,110.8797,119.4037
411.1577,110.8573,119.4213
411.1505,110.8476,119.4142
411.1466,110.8443,119.4042
####
411.1305,110.883,119.3958
411.1061,110.8672,119.3481
411.0825,110.8673,119.3867
411.0818,110.8596,119.4157
411.0932,110.8507,119.4286
411.1106,110.8951,119.418
411.1039,110.8666,119.4398
